# Tactical Map Configuration File
# Generate SVG with: python3 generate-tactical-map.py example-map-config.txt output-map.svg

TITLE: The Proving Grounds
SUBTITLE: 12×12 Hex Tactical Map - Scenario #1

# Terrain Abbreviations:
#   OG = Open Ground
#   FR = Forest (+1 Defense)
#   RU = Rubble (+1 Defense, 2 SP to enter)
#   WA = Water/Mud (-1 Heat)
#   E1 = Elevation +1 (+1 damage to lower)
#   E2 = Elevation +2 (+2 damage, +1 Range to lower)
#   PC = Player Church Deploy
#   PD = Player Dwarf Deploy

# 12×12 Grid (12 columns per row)
ROW1:  PC PC FR FR OG OG OG OG FR FR OG OG
ROW2:  PC WA WA WA RU RU RU RU WA WA WA OG
ROW3:  PC WA OG OG OG OG OG OG OG OG WA OG
ROW4:  OG WA E1 E1 OG FR FR OG E1 E1 WA OG
ROW5:  OG WA WA WA OG OG OG OG WA WA WA OG
ROW6:  OG OG OG OG RU RU RU RU OG OG OG OG
ROW7:  OG OG OG OG RU E2 E2 RU OG OG OG OG
ROW8:  OG FR OG OG RU E2 E2 RU OG OG FR OG
ROW9:  OG FR FR OG OG OG OG OG OG FR FR OG
ROW10: OG OG WA WA WA WA WA WA WA WA OG OG
ROW11: OG OG OG WA WA OG OG WA WA PD PD PD
ROW12: OG OG OG OG OG OG OG OG OG PD PD PD
